Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Age and gender,Can,    Female 10-14 years,Total population (i),"   Female, total",    Female 10-14 years,,,,914730.0
Age and gender,Can,    Female 15-19 years,Total population (i),"   Female, total",    Female 15-19 years,,,,910905.0
Age and gender,Can,    Female 20-24 years,Total population (i),"   Female, total",    Female 20-24 years,,,,974715.0
Age and gender,Can,    Female 25-29 years,Total population (i),"   Female, total",    Female 25-29 years,,,,1187435.0
Age and gender,Can,    Female 30-34 years,Total population (i),"   Female, total",    Female 30-34 years,,,,1250845.0
Age and gender,Can,    Female 35-39 years,Total population (i),"   Female, total",    Female 35-39 years,,,,1149990.0
Age and gender,Can,    Female 40-44 years,Total population (i),"   Female, total",    Female 40-44 years,,,,1043685.0
Age and gender,Can,    Female 45-49 years,Total population (i),"   Female, total",    Female 45-49 years,,,,816910.0
Age and gender,Can,    Female 50-54 years,Total population (i),"   Female, total",    Female 50-54 years,,,,659845.0
Age and gender,Can,    Female 55-59 years,Total population (i),"   Female, total",    Female 55-59 years,,,,616270.0
Age and gender,Can,    Female 60-64 years,Total population (i),"   Female, total",    Female 60-64 years,,,,599505.0
Age and gender,Can,    Female 65-74 years,Total population (i),"   Female, total",    Female 65-74 years,,,,1017525.0
Age and gender,Can,    Female 75 years and over,Total population (i),"   Female, total",    Female 75 years and over,,,,654950.0
Age and gender,Ont,Total population (i),Total population (i),,,,,,9977050.0
Age and gender,Ont,"  Male, Total",Total population (i),"  Male, Total",,,,,4913235.0
Age and gender,Ont,    Male 0-4 years,Total population (i),"  Male, Total",    Male 0-4 years,,,,362510.0
Age and gender,Ont,    Male 5-9 years,Total population (i),"  Male, Total",    Male 5-9 years,,,,352690.0
Age and gender,Ont,    Male 10-14 years,Total population (i),"  Male, Total",    Male 10-14 years,,,,338235.0
Age and gender,Ont,    Male 15-19 years,Total population (i),"  Male, Total",    Male 15-19 years,,,,349225.0
Age and gender,Ont,    Male 20-24 years,Total population (i),"  Male, Total",    Male 20-24 years,,,,371505.0
Age and gender,Ont,    Male 25-29 years,Total population (i),"  Male, Total",    Male 25-29 years,,,,444990.0
Age and gender,Ont,    Male 30-34 years,Total population (i),"  Male, Total",    Male 30-34 years,,,,449075.0
Age and gender,Ont,    Male 35-39 years,Total population (i),"  Male, Total",    Male 35-39 years,,,,399395.0
Age and gender,Ont,    Male 40-44 years,Total population (i),"  Male, Total",    Male 40-44 years,,,,381305.0
Age and gender,Ont,    Male 45-49 years,Total population (i),"  Male, Total",    Male 45-49 years,,,,299460.0
Age and gender,Ont,    Male 50-54 years,Total population (i),"  Male, Total",    Male 50-54 years,,,,249760.0
Age and gender,Ont,    Male 55-59 years,Total population (i),"  Male, Total",    Male 55-59 years,,,,227375.0
Age and gender,Ont,    Male 60-64 years,Total population (i),"  Male, Total",    Male 60-64 years,,,,217165.0
Age and gender,Ont,    Male 65-74 years,Total population (i),"  Male, Total",    Male 65-74 years,,,,315355.0
Age and gender,Ont,    Male 75 years and over,Total population (i),"  Male, Total",    Male 75 years and over,,,,155195.0
Age and gender,Ont,"   Female, total",Total population (i),"   Female, total",,,,,5063820.0
Age and gender,Ont,    Female 0-4 years,Total population (i),"   Female, total",    Female 0-4 years,,,,344280.0
Age and gender,Ont,    Female 5-9 years,Total population (i),"   Female, total",    Female 5-9 years,,,,335465.0
Age and gender,Ont,    Female 10-14 years,Total population (i),"   Female, total",    Female 10-14 years,,,,320950.0
Age and gender,Ont,    Female 15-19 years,Total population (i),"   Female, total",    Female 15-19 years,,,,329975.0
Age and gender,Ont,    Female 20-24 years,Total population (i),"   Female, total",    Female 20-24 years,,,,369880.0
Age and gender,Ont,    Female 25-29 years,Total population (i),"   Female, total",    Female 25-29 years,,,,452290.0
Age and gender,Ont,    Female 30-34 years,Total population (i),"   Female, total",    Female 30-34 years,,,,462350.0
Age and gender,Ont,    Female 35-39 years,Total population (i),"   Female, total",    Female 35-39 years,,,,420830.0
Age and gender,Ont,    Female 40-44 years,Total population (i),"   Female, total",    Female 40-44 years,,,,389045.0
Age and gender,Ont,    Female 45-49 years,Total population (i),"   Female, total",    Female 45-49 years,,,,300625.0
Age and gender,Ont,    Female 50-54 years,Total population (i),"   Female, total",    Female 50-54 years,,,,248550.0
Age and gender,Ont,    Female 55-59 years,Total population (i),"   Female, total",    Female 55-59 years,,,,233865.0
Age and gender,Ont,    Female 60-64 years,Total population (i),"   Female, total",    Female 60-64 years,,,,227720.0
Age and gender,Ont,    Female 65-74 years,Total population (i),"   Female, total",    Female 65-74 years,,,,383910.0
Age and gender,Ont,    Female 75 years and over,Total population (i),"   Female, total",    Female 75 years and over,,,,244085.0
Age and gender,M1B,Total population (i),Total population (i),,,,,,52330.0
Age and gender,M1B,"  Male, Total",Total population (i),"  Male, Total",,,,,25735.0
Age and gender,M1B,    Male 0-4 years,Total population (i),"  Male, Total",    Male 0-4 years,,,,2110.0
Age and gender,M1B,    Male 5-9 years,Total population (i),"  Male, Total",    Male 5-9 years,,,,2345.0
Age and gender,M1B,    Male 10-14 years,Total population (i),"  Male, Total",    Male 10-14 years,,,,2415.0
Age and gender,M1B,    Male 15-19 years,Total population (i),"  Male, Total",    Male 15-19 years,,,,2285.0
Age and gender,M1B,    Male 20-24 years,Total population (i),"  Male, Total",    Male 20-24 years,,,,2215.0
Age and gender,M1B,    Male 25-29 years,Total population (i),"  Male, Total",    Male 25-29 years,,,,2310.0
Age and gender,M1B,    Male 30-34 years,Total population (i),"  Male, Total",    Male 30-34 years,,,,2560.0
Age and gender,M1B,    Male 35-39 years,Total population (i),"  Male, Total",    Male 35-39 years,,,,2245.0
Age and gender,M1B,    Male 40-44 years,Total population (i),"  Male, Total",    Male 40-44 years,,,,2280.0
Age and gender,M1B,    Male 45-49 years,Total population (i),"  Male, Total",    Male 45-49 years,,,,1590.0
Age and gender,M1B,    Male 50-54 years,Total population (i),"  Male, Total",    Male 50-54 years,,,,1130.0
Age and gender,M1B,    Male 55-59 years,Total population (i),"  Male, Total",    Male 55-59 years,,,,920.0
Age and gender,M1B,    Male 60-64 years,Total population (i),"  Male, Total",    Male 60-64 years,,,,555.0
Age and gender,M1B,    Male 65-74 years,Total population (i),"  Male, Total",    Male 65-74 years,,,,635.0
Age and gender,M1B,    Male 75 years and over,Total population (i),"  Male, Total",    Male 75 years and over,,,,135.0
Age and gender,M1B,"   Female, total",Total population (i),"   Female, total",,,,,26600.0
Age and gender,M1B,    Female 0-4 years,Total population (i),"   Female, total",    Female 0-4 years,,,,2295.0
Age and gender,M1B,    Female 5-9 years,Total population (i),"   Female, total",    Female 5-9 years,,,,2095.0
Age and gender,M1B,    Female 10-14 years,Total population (i),"   Female, total",    Female 10-14 years,,,,1965.0
Age and gender,M1B,    Female 15-19 years,Total population (i),"   Female, total",    Female 15-19 years,,,,2150.0
Age and gender,M1B,    Female 20-24 years,Total population (i),"   Female, total",    Female 20-24 years,,,,2285.0
Age and gender,M1B,    Female 25-29 years,Total population (i),"   Female, total",    Female 25-29 years,,,,2565.0
Age and gender,M1B,    Female 30-34 years,Total population (i),"   Female, total",    Female 30-34 years,,,,2615.0
Age and gender,M1B,    Female 35-39 years,Total population (i),"   Female, total",    Female 35-39 years,,,,2615.0
Age and gender,M1B,    Female 40-44 years,Total population (i),"   Female, total",    Female 40-44 years,,,,2530.0
Age and gender,M1B,    Female 45-49 years,Total population (i),"   Female, total",    Female 45-49 years,,,,1800.0
Age and gender,M1B,    Female 50-54 years,Total population (i),"   Female, total",    Female 50-54 years,,,,1115.0
Age and gender,M1B,    Female 55-59 years,Total population (i),"   Female, total",    Female 55-59 years,,,,860.0
Age and gender,M1B,    Female 60-64 years,Total population (i),"   Female, total",    Female 60-64 years,,,,645.0
Age and gender,M1B,    Female 65-74 years,Total population (i),"   Female, total",    Female 65-74 years,,,,745.0
Age and gender,M1B,    Female 75 years and over,Total population (i),"   Female, total",    Female 75 years and over,,,,320.0
Age and gender,M1C,Total population (i),Total population (i),,,,,,28830.0
Age and gender,M1C,"  Male, Total",Total population (i),"  Male, Total",,,,,14495.0
Age and gender,M1C,    Male 0-4 years,Total population (i),"  Male, Total",    Male 0-4 years,,,,885.0
Age and gender,M1C,    Male 5-9 years,Total population (i),"  Male, Total",    Male 5-9 years,,,,1125.0
Age and gender,M1C,    Male 10-14 years,Total population (i),"  Male, Total",    Male 10-14 years,,,,1265.0
Age and gender,M1C,    Male 15-19 years,Total population (i),"  Male, Total",    Male 15-19 years,,,,1425.0
Age and gender,M1C,    Male 20-24 years,Total population (i),"  Male, Total",    Male 20-24 years,,,,1290.0
Age and gender,M1C,    Male 25-29 years,Total population (i),"  Male, Total",    Male 25-29 years,,,,935.0
Age and gender,M1C,    Male 30-34 years,Total population (i),"  Male, Total",    Male 30-34 years,,,,865.0
Age and gender,M1C,    Male 35-39 years,Total population (i),"  Male, Total",    Male 35-39 years,,,,1080.0
Age and gender,M1C,    Male 40-44 years,Total population (i),"  Male, Total",    Male 40-44 years,,,,1335.0
Age and gender,M1C,    Male 45-49 years,Total population (i),"  Male, Total",    Male 45-49 years,,,,1310.0
Age and gender,M1C,    Male 50-54 years,Total population (i),"  Male, Total",    Male 50-54 years,,,,1080.0
Age and gender,M1C,    Male 55-59 years,Total population (i),"  Male, Total",    Male 55-59 years,,,,700.0
Age and gender,M1C,    Male 60-64 years,Total population (i),"  Male, Total",    Male 60-64 years,,,,530.0
Age and gender,M1C,    Male 65-74 years,Total population (i),"  Male, Total",    Male 65-74 years,,,,445.0
Age and gender,M1C,    Male 75 years and over,Total population (i),"  Male, Total",    Male 75 years and over,,,,225.0
Age and gender,M1C,"   Female, total",Total population (i),"   Female, total",,,,,14340.0
Age and gender,M1C,    Female 0-4 years,Total population (i),"   Female, total",    Female 0-4 years,,,,800.0
Age and gender,M1C,    Female 5-9 years,Total population (i),"   Female, total",    Female 5-9 years,,,,1060.0
Age and gender,M1C,    Female 10-14 years,Total population (i),"   Female, total",    Female 10-14 years,,,,1155.0
Age and gender,M1C,    Female 15-19 years,Total population (i),"   Female, total",    Female 15-19 years,,,,1325.0
Age and gender,M1C,    Female 20-24 years,Total population (i),"   Female, total",    Female 20-24 years,,,,1135.0
Age and gender,M1C,    Female 25-29 years,Total population (i),"   Female, total",    Female 25-29 years,,,,840.0
Age and gender,M1C,    Female 30-34 years,Total population (i),"   Female, total",    Female 30-34 years,,,,1005.0
Age and gender,M1C,    Female 35-39 years,Total population (i),"   Female, total",    Female 35-39 years,,,,1310.0
Age and gender,M1C,    Female 40-44 years,Total population (i),"   Female, total",    Female 40-44 years,,,,1565.0
Age and gender,M1C,    Female 45-49 years,Total population (i),"   Female, total",    Female 45-49 years,,,,1280.0
Age and gender,M1C,    Female 50-54 years,Total population (i),"   Female, total",    Female 50-54 years,,,,865.0
Age and gender,M1C,    Female 55-59 years,Total population (i),"   Female, total",    Female 55-59 years,,,,665.0
Age and gender,M1C,    Female 60-64 years,Total population (i),"   Female, total",    Female 60-64 years,,,,380.0
Age and gender,M1C,    Female 65-74 years,Total population (i),"   Female, total",    Female 65-74 years,,,,645.0
Age and gender,M1C,    Female 75 years and over,Total population (i),"   Female, total",    Female 75 years and over,,,,300.0
Age and gender,M1E,Total population (i),Total population (i),,,,,,43010.0
Age and gender,M1E,"  Male, Total",Total population (i),"  Male, Total",,,,,20655.0
Age and gender,M1E,    Male 0-4 years,Total population (i),"  Male, Total",    Male 0-4 years,,,,1605.0
Age and gender,M1E,    Male 5-9 years,Total population (i),"  Male, Total",    Male 5-9 years,,,,1370.0
Age and gender,M1E,    Male 10-14 years,Total population (i),"  Male, Total",    Male 10-14 years,,,,1320.0
Age and gender,M1E,    Male 15-19 years,Total population (i),"  Male, Total",    Male 15-19 years,,,,1625.0
Age and gender,M1E,    Male 20-24 years,Total population (i),"  Male, Total",    Male 20-24 years,,,,1885.0
Age and gender,M1E,    Male 25-29 years,Total population (i),"  Male, Total",    Male 25-29 years,,,,1845.0
Age and gender,M1E,    Male 30-34 years,Total population (i),"  Male, Total",    Male 30-34 years,,,,1790.0
Age and gender,M1E,    Male 35-39 years,Total population (i),"  Male, Total",    Male 35-39 years,,,,1420.0
Age and gender,M1E,    Male 40-44 years,Total population (i),"  Male, Total",    Male 40-44 years,,,,1340.0
Age and gender,M1E,    Male 45-49 years,Total population (i),"  Male, Total",    Male 45-49 years,,,,1215.0
Age and gender,M1E,    Male 50-54 years,Total population (i),"  Male, Total",    Male 50-54 years,,,,1260.0
Age and gender,M1E,    Male 55-59 years,Total population (i),"  Male, Total",    Male 55-59 years,,,,1170.0
Age and gender,M1E,    Male 60-64 years,Total population (i),"  Male, Total",    Male 60-64 years,,,,1065.0
Age and gender,M1E,    Male 65-74 years,Total population (i),"  Male, Total",    Male 65-74 years,,,,1105.0
Age and gender,M1E,    Male 75 years and over,Total population (i),"  Male, Total",    Male 75 years and over,,,,635.0
Age and gender,M1E,"   Female, total",Total population (i),"   Female, total",,,,,22360.0
Age and gender,M1E,    Female 0-4 years,Total population (i),"   Female, total",    Female 0-4 years,,,,1500.0
Age and gender,M1E,    Female 5-9 years,Total population (i),"   Female, total",    Female 5-9 years,,,,1470.0
Age and gender,M1E,    Female 10-14 years,Total population (i),"   Female, total",    Female 10-14 years,,,,1250.0
Age and gender,M1E,    Female 15-19 years,Total population (i),"   Female, total",    Female 15-19 years,,,,1330.0
Age and gender,M1E,    Female 20-24 years,Total population (i),"   Female, total",    Female 20-24 years,,,,1960.0
Age and gender,M1E,    Female 25-29 years,Total population (i),"   Female, total",    Female 25-29 years,,,,1960.0
Age and gender,M1E,    Female 30-34 years,Total population (i),"   Female, total",    Female 30-34 years,,,,1765.0
Age and gender,M1E,    Female 35-39 years,Total population (i),"   Female, total",    Female 35-39 years,,,,1750.0
Age and gender,M1E,    Female 40-44 years,Total population (i),"   Female, total",    Female 40-44 years,,,,1685.0
Age and gender,M1E,    Female 45-49 years,Total population (i),"   Female, total",    Female 45-49 years,,,,1390.0
Age and gender,M1E,    Female 50-54 years,Total population (i),"   Female, total",    Female 50-54 years,,,,1320.0
Age and gender,M1E,    Female 55-59 years,Total population (i),"   Female, total",    Female 55-59 years,,,,1185.0
Age and gender,M1E,    Female 60-64 years,Total population (i),"   Female, total",    Female 60-64 years,,,,1095.0
Age and gender,M1E,    Female 65-74 years,Total population (i),"   Female, total",    Female 65-74 years,,,,1580.0
Age and gender,M1E,    Female 75 years and over,Total population (i),"   Female, total",    Female 75 years and over,,,,1115.0
Age and gender,M1G,Total population (i),Total population (i),,,,,,27285.0
Age and gender,M1G,"  Male, Total",Total population (i),"  Male, Total",,,,,13360.0
Age and gender,M1G,    Male 0-4 years,Total population (i),"  Male, Total",    Male 0-4 years,,,,1140.0
Age and gender,M1G,    Male 5-9 years,Total population (i),"  Male, Total",    Male 5-9 years,,,,915.0
Age and gender,M1G,    Male 10-14 years,Total population (i),"  Male, Total",    Male 10-14 years,,,,860.0
Age and gender,M1G,    Male 15-19 years,Total population (i),"  Male, Total",    Male 15-19 years,,,,930.0
Age and gender,M1G,    Male 20-24 years,Total population (i),"  Male, Total",    Male 20-24 years,,,,1180.0
Age and gender,M1G,    Male 25-29 years,Total population (i),"  Male, Total",    Male 25-29 years,,,,1285.0
Age and gender,M1G,    Male 30-34 years,Total population (i),"  Male, Total",    Male 30-34 years,,,,1150.0
Age and gender,M1G,    Male 35-39 years,Total population (i),"  Male, Total",    Male 35-39 years,,,,1005.0
Age and gender,M1G,    Male 40-44 years,Total population (i),"  Male, Total",    Male 40-44 years,,,,820.0
Age and gender,M1G,    Male 45-49 years,Total population (i),"  Male, Total",    Male 45-49 years,,,,745.0
Age and gender,M1G,    Male 50-54 years,Total population (i),"  Male, Total",    Male 50-54 years,,,,635.0
Age and gender,M1G,    Male 55-59 years,Total population (i),"  Male, Total",    Male 55-59 years,,,,815.0
Age and gender,M1G,    Male 60-64 years,Total population (i),"  Male, Total",    Male 60-64 years,,,,785.0
Age and gender,M1G,    Male 65-74 years,Total population (i),"  Male, Total",    Male 65-74 years,,,,850.0
Age and gender,M1G,    Male 75 years and over,Total population (i),"  Male, Total",    Male 75 years and over,,,,235.0
Age and gender,M1G,"   Female, total",Total population (i),"   Female, total",,,,,13925.0
Age and gender,M1G,    Female 0-4 years,Total population (i),"   Female, total",    Female 0-4 years,,,,1035.0
Age and gender,M1G,    Female 5-9 years,Total population (i),"   Female, total",    Female 5-9 years,,,,885.0
Age and gender,M1G,    Female 10-14 years,Total population (i),"   Female, total",    Female 10-14 years,,,,780.0
Age and gender,M1G,    Female 15-19 years,Total population (i),"   Female, total",    Female 15-19 years,,,,855.0
Age and gender,M1G,    Female 20-24 years,Total population (i),"   Female, total",    Female 20-24 years,,,,1130.0
Age and gender,M1G,    Female 25-29 years,Total population (i),"   Female, total",    Female 25-29 years,,,,1310.0
Age and gender,M1G,    Female 30-34 years,Total population (i),"   Female, total",    Female 30-34 years,,,,1295.0
Age and gender,M1G,    Female 35-39 years,Total population (i),"   Female, total",    Female 35-39 years,,,,935.0
Age and gender,M1G,    Female 40-44 years,Total population (i),"   Female, total",    Female 40-44 years,,,,940.0
Age and gender,M1G,    Female 45-49 years,Total population (i),"   Female, total",    Female 45-49 years,,,,730.0
Age and gender,M1G,    Female 50-54 years,Total population (i),"   Female, total",    Female 50-54 years,,,,810.0
Age and gender,M1G,    Female 55-59 years,Total population (i),"   Female, total",    Female 55-59 years,,,,850.0
Age and gender,M1G,    Female 60-64 years,Total population (i),"   Female, total",    Female 60-64 years,,,,725.0
Age and gender,M1G,    Female 65-74 years,Total population (i),"   Female, total",    Female 65-74 years,,,,1040.0
Age and gender,M1G,    Female 75 years and over,Total population (i),"   Female, total",    Female 75 years and over,,,,600.0
Age and gender,M1H,Total population (i),Total population (i),,,,,,15055.0
Age and gender,M1H,"  Male, Total",Total population (i),"  Male, Total",,,,,7480.0
Age and gender,M1H,    Male 0-4 years,Total population (i),"  Male, Total",    Male 0-4 years,,,,550.0
Age and gender,M1H,    Male 5-9 years,Total population (i),"  Male, Total",    Male 5-9 years,,,,430.0
Age and gender,M1H,    Male 10-14 years,Total population (i),"  Male, Total",    Male 10-14 years,,,,385.0
Age and gender,M1H,    Male 15-19 years,Total population (i),"  Male, Total",    Male 15-19 years,,,,485.0
Age and gender,M1H,    Male 20-24 years,Total population (i),"  Male, Total",    Male 20-24 years,,,,735.0
Age and gender,M1H,    Male 25-29 years,Total population (i),"  Male, Total",    Male 25-29 years,,,,780.0
Age and gender,M1H,    Male 30-34 years,Total population (i),"  Male, Total",    Male 30-34 years,,,,640.0
Age and gender,M1H,    Male 35-39 years,Total population (i),"  Male, Total",    Male 35-39 years,,,,585.0
Age and gender,M1H,    Male 40-44 years,Total population (i),"  Male, Total",    Male 40-44 years,,,,430.0
Age and gender,M1H,    Male 45-49 years,Total population (i),"  Male, Total",    Male 45-49 years,,,,415.0
Age and gender,M1H,    Male 50-54 years,Total population (i),"  Male, Total",    Male 50-54 years,,,,315.0
Age and gender,M1H,    Male 55-59 years,Total population (i),"  Male, Total",    Male 55-59 years,,,,600.0
Age and gender,M1H,    Male 60-64 years,Total population (i),"  Male, Total",    Male 60-64 years,,,,470.0
Age and gender,M1H,    Male 65-74 years,Total population (i),"  Male, Total",    Male 65-74 years,,,,535.0
Age and gender,M1H,    Male 75 years and over,Total population (i),"  Male, Total",    Male 75 years and over,,,,120.0
Age and gender,M1H,"   Female, total",Total population (i),"   Female, total",,,,,7575.0
Age and gender,M1H,    Female 0-4 years,Total population (i),"   Female, total",    Female 0-4 years,,,,485.0
Age and gender,M1H,    Female 5-9 years,Total population (i),"   Female, total",    Female 5-9 years,,,,435.0
Age and gender,M1H,    Female 10-14 years,Total population (i),"   Female, total",    Female 10-14 years,,,,405.0
Age and gender,M1H,    Female 15-19 years,Total population (i),"   Female, total",    Female 15-19 years,,,,435.0
Age and gender,M1H,    Female 20-24 years,Total population (i),"   Female, total",    Female 20-24 years,,,,590.0
Age and gender,M1H,    Female 25-29 years,Total population (i),"   Female, total",    Female 25-29 years,,,,730.0
Age and gender,M1H,    Female 30-34 years,Total population (i),"   Female, total",    Female 30-34 years,,,,705.0
Age and gender,M1H,    Female 35-39 years,Total population (i),"   Female, total",    Female 35-39 years,,,,460.0
Age and gender,M1H,    Female 40-44 years,Total population (i),"   Female, total",    Female 40-44 years,,,,510.0
Age and gender,M1H,    Female 45-49 years,Total population (i),"   Female, total",    Female 45-49 years,,,,470.0
Age and gender,M1H,    Female 50-54 years,Total population (i),"   Female, total",    Female 50-54 years,,,,490.0
Age and gender,M1H,    Female 55-59 years,Total population (i),"   Female, total",    Female 55-59 years,,,,635.0
Age and gender,M1H,    Female 60-64 years,Total population (i),"   Female, total",    Female 60-64 years,,,,575.0
Age and gender,M1H,    Female 65-74 years,Total population (i),"   Female, total",    Female 65-74 years,,,,465.0
Age and gender,M1H,    Female 75 years and over,Total population (i),"   Female, total",    Female 75 years and over,,,,185.0
Age and gender,M1J,Total population (i),Total population (i),,,,,,32005.0
Age and gender,M1J,"  Male, Total",Total population (i),"  Male, Total",,,,,15395.0
Age and gender,M1J,    Male 0-4 years,Total population (i),"  Male, Total",    Male 0-4 years,,,,1265.0
Age and gender,M1J,    Male 5-9 years,Total population (i),"  Male, Total",    Male 5-9 years,,,,1070.0
Age and gender,M1J,    Male 10-14 years,Total population (i),"  Male, Total",    Male 10-14 years,,,,1080.0
Age and gender,M1J,    Male 15-19 years,Total population (i),"  Male, Total",    Male 15-19 years,,,,1000.0
Age and gender,M1J,    Male 20-24 years,Total population (i),"  Male, Total",    Male 20-24 years,,,,1290.0
Age and gender,M1J,    Male 25-29 years,Total population (i),"  Male, Total",    Male 25-29 years,,,,1725.0
Age and gender,M1J,    Male 30-34 years,Total population (i),"  Male, Total",    Male 30-34 years,,,,1545.0
Age and gender,M1J,    Male 35-39 years,Total population (i),"  Male, Total",    Male 35-39 years,,,,1260.0
Age and gender,M1J,    Male 40-44 years,Total population (i),"  Male, Total",    Male 40-44 years,,,,1095.0
Age and gender,M1J,    Male 45-49 years,Total population (i),"  Male, Total",    Male 45-49 years,,,,790.0
Age and gender,M1J,    Male 50-54 years,Total population (i),"  Male, Total",    Male 50-54 years,,,,715.0
Age and gender,M1J,    Male 55-59 years,Total population (i),"  Male, Total",    Male 55-59 years,,,,795.0
Age and gender,M1J,    Male 60-64 years,Total population (i),"  Male, Total",    Male 60-64 years,,,,595.0
Age and gender,M1J,    Male 65-74 years,Total population (i),"  Male, Total",    Male 65-74 years,,,,845.0
Age and gender,M1J,    Male 75 years and over,Total population (i),"  Male, Total",    Male 75 years and over,,,,325.0
Age and gender,M1J,"   Female, total",Total population (i),"   Female, total",,,,,16605.0
Age and gender,M1J,    Female 0-4 years,Total population (i),"   Female, total",    Female 0-4 years,,,,1260.0
Age and gender,M1J,    Female 5-9 years,Total population (i),"   Female, total",    Female 5-9 years,,,,1160.0
Age and gender,M1J,    Female 10-14 years,Total population (i),"   Female, total",    Female 10-14 years,,,,945.0
Age and gender,M1J,    Female 15-19 years,Total population (i),"   Female, total",    Female 15-19 years,,,,1030.0
Age and gender,M1J,    Female 20-24 years,Total population (i),"   Female, total",    Female 20-24 years,,,,1420.0
Age and gender,M1J,    Female 25-29 years,Total population (i),"   Female, total",    Female 25-29 years,,,,1740.0
Age and gender,M1J,    Female 30-34 years,Total population (i),"   Female, total",    Female 30-34 years,,,,1685.0
Age and gender,M1J,    Female 35-39 years,Total population (i),"   Female, total",    Female 35-39 years,,,,1315.0
Age and gender,M1J,    Female 40-44 years,Total population (i),"   Female, total",    Female 40-44 years,,,,1180.0
Age and gender,M1J,    Female 45-49 years,Total population (i),"   Female, total",    Female 45-49 years,,,,915.0
Age and gender,M1J,    Female 50-54 years,Total population (i),"   Female, total",    Female 50-54 years,,,,800.0
Age and gender,M1J,    Female 55-59 years,Total population (i),"   Female, total",    Female 55-59 years,,,,790.0
Age and gender,M1J,    Female 60-64 years,Total population (i),"   Female, total",    Female 60-64 years,,,,730.0
Age and gender,M1J,    Female 65-74 years,Total population (i),"   Female, total",    Female 65-74 years,,,,1045.0
Age and gender,M1J,    Female 75 years and over,Total population (i),"   Female, total",    Female 75 years and over,,,,590.0
Age and gender,M1K,Total population (i),Total population (i),,,,,,44760.0
Age and gender,M1K,"  Male, Total",Total population (i),"  Male, Total",,,,,21585.0
Age and gender,M1K,    Male 0-4 years,Total population (i),"  Male, Total",    Male 0-4 years,,,,1745.0
Age and gender,M1K,    Male 5-9 years,Total population (i),"  Male, Total",    Male 5-9 years,,,,1215.0
Age and gender,M1K,    Male 10-14 years,Total population (i),"  Male, Total",    Male 10-14 years,,,,1150.0
Age and gender,M1K,    Male 15-19 years,Total population (i),"  Male, Total",    Male 15-19 years,,,,1370.0
Age and gender,M1K,    Male 20-24 years,Total population (i),"  Male, Total",    Male 20-24 years,,,,2010.0
Age and gender,M1K,    Male 25-29 years,Total population (i),"  Male, Total",    Male 25-29 years,,,,2520.0
Age and gender,M1K,    Male 30-34 years,Total population (i),"  Male, Total",    Male 30-34 years,,,,2295.0
Age and gender,M1K,    Male 35-39 years,Total population (i),"  Male, Total",    Male 35-39 years,,,,1620.0
Age and gender,M1K,    Male 40-44 years,Total population (i),"  Male, Total",    Male 40-44 years,,,,1300.0
Age and gender,M1K,    Male 45-49 years,Total population (i),"  Male, Total",    Male 45-49 years,,,,1120.0
Age and gender,M1K,    Male 50-54 years,Total population (i),"  Male, Total",    Male 50-54 years,,,,1025.0
